Name, Genre, Director, Date, TomatoMeter, TomatoMeterNum, AudienceScore, AudienceScoreNum, BoxOffice
"Despicable Me 3 (2017)","Animation","Kyle Balda","Jun 30, 2017
 wide","60","167","55","77474","264194540"
"Birth of the Dragon (2017)","Action & Adventure","George Nolfi","Aug 25, 2017
 wide","23","32","73","6097","6895695"
"Kirk Cameron's Saving Christmas (2014)","Kids & Family","Darren Doane","Nov 14, 2014
 limited","0","13","30","21968","2778297"
"Valerian and the City of a Thousand Planets (2017)","Action & Adventure","Luc Besson","Jul 21, 2017
 wide","49","241","55","25543","40442321"
"American Assassin (2017)","Action & Adventure","Michael Cuesta","Sep 15, 2017
 wide","34","146","64","17361","34449582"
"Tulip Fever (2017)","Drama","Justin Chadwick","Sep 1, 2017
 limited","10","52","46","5036","2399374"
"After Love (L'économie du couple) (2017)","Art House & International","Joachim Lafosse","Aug 9, 2017
 limited","91","46","74","326","13621"
"Logan Lucky (2017)","Comedy","Steven Soderbergh","Aug 18, 2017
 wide","93","230","76","24835","27696504"
"Lost in Paris (Paris pieds nus) (2017)","Art House & International","Dominique Abel","Jun 16, 2017
 limited","84","44","73","1482","687696"
"Better Watch Out (2017)","Drama","Chris Peckover","Oct 6, 2017
 limited","92","36","69","3503","None"
"Kepler's Dream (2017)","Drama","Amy Glazer","Dec 1, 2017
 limited","50","6","None","5","None"
"Love Is Thicker Than Water (2016)","Comedy","Ate de Jong","Nov 28, 2017","43","7","None","11","None"
"From the Land of the Moon (Mal de pierres) (2017)","Art House & International","Nicole Garcia","Jul 28, 2017
 limited","32","53","63","220","45457"
"The Women's Balcony (Ismach Hatani) (2017)","Art House & International","Emil Ben-Shimon","Mar 3, 2017
 limited","96","45","78","1259","1187629"
"The Osiris Child: Science Fiction Volume One (2017)","Drama","Shane Abbess","Oct 6, 2017
 limited","65","17","43","1798","None"
"Woodshock (2017)","Drama","Kate Mulleavy","Sep 22, 2017
 limited","18","44","42","1046","41126"
"Conor McGregor: Notorious (2017)","Documentary","Gavin Fitzgerald","95 minutes","54","13","85","201","None"
"Gook (2017)","Drama","Justin Chon","Aug 18, 2017
 limited","93","41","90","917","222191"
"Rememory (2017)","Drama","Mark Palansky","Sep 8, 2017
 limited","22","18","44","737","None"
"Boston (2017)","Documentary","Jon Dunham","Dec 5, 2017","100","5","None","63","None"
"The New Radical (2017)","Documentary","Adam Bhala Lough","Dec 1, 2017
 limited","70","10","None","31","None"
"The Price (2017)","Drama","Anthony Onah","Nov 10, 2017
 limited","71","14","63","35","None"
"Savage Dog (2017)","Action & Adventure","Jesse V. Johnson","Aug 4, 2017
 limited","63","8","48","92","None"
"M.F.A. (2017)","Drama","Natalia Leite","Oct 13, 2017
 limited","58","12","71","187","None"
"The Crucifixion (2017)","Horror","Xavier Gens","Dec 5, 2017","0","5","28","101","None"
"Santoalla (2017)","Documentary","Andrew Becker (II)","Dec 5, 2017","83","12","None","45","None"
"Acts of Vengeance (2017)","Action & Adventure","Isaac Florentine","Oct 27, 2017
 limited","57","7","27","87","None"
"The Tribes of Palos Verdes (2017)","Drama","Emmett Malloy","Dec 1, 2017
 limited","67","9","65","111","None"
"Cuba And The Cameraman (2017)","Documentary","Jon Alpert","Nov 24, 2017
 limited","100","6","93","121","None"
"The Newspaperman: The Life and Times of Ben Bradlee (2017)","Documentary","John Maggio","89 minutes","92","13","None","11","None"
"Voyeur (2017)","Documentary","Myles Kane","Dec 1, 2017","75","20","84","58","None"
"Love Beats Rhymes (2017)","Drama","RZA","Dec 1, 2017
 limited","50","8","82","41","None"
"Amityville: The Awakening (2017)","Horror","Franck Khalfoun","Oct 28, 2017
 limited","15","13","36","23565","None"
"The Nut Job 2: Nutty by Nature (2017)","Animation","Cal Brunker","Aug 11, 2017
 wide","9","53","44","7082","28342490"
"Atomic Blonde (2017)","Action & Adventure","David Leitch","Jul 28, 2017
 wide","76","266","65","32248","51536935"
"The Hitman's Bodyguard (2017)","Action & Adventure","Patrick Hughes","Aug 18, 2017
 wide","40","182","69","25525","75020039"
"Wind River (2017)","Drama","Taylor Sheridan","Aug 4, 2017
 limited","88","202","91","26287","33782714"
